Date,Close
11/15/2016,2180.389893
11/16/2016,2176.939941
11/17/2016,2187.120117
11/18/2016,2181.899902
11/21/2016,2198.179932
11/22/2016,2202.939941
11/23/2016,2204.719971
11/25/2016,2213.350098
11/28/2016,2201.719971
11/29/2016,2204.659912
11/30/2016,2198.810059
12/1/2016,2191.080078
12/2/2016,2191.949951
12/5/2016,2204.709961
12/6/2016,2212.22998
12/7/2016,2241.350098
12/8/2016,2246.189941
12/9/2016,2259.530029
12/12/2016,2256.959961
12/13/2016,2271.719971
12/14/2016,2253.280029
12/15/2016,2262.030029
12/16/2016,2258.070068
12/19/2016,2262.530029
12/20/2016,2270.76001
12/21/2016,2265.179932
12/22/2016,2260.959961
12/23/2016,2263.790039
12/27/2016,2268.879883
12/28/2016,2249.919922
12/29/2016,2249.26001
12/30/2016,2238.830078
1/3/2017,2257.830078
1/4/2017,2270.75
1/5/2017,2269
1/6/2017,2276.97998
1/9/2017,2268.899902
1/10/2017,2268.899902
1/11/2017,2275.320068
1/12/2017,2270.439941
1/13/2017,2274.639893
1/17/2017,2267.889893
1/18/2017,2271.889893
1/19/2017,2263.689941
1/20/2017,2271.310059
1/23/2017,2265.199951
1/24/2017,2280.070068
1/25/2017,2298.370117
1/26/2017,2296.679932
1/27/2017,2294.689941
1/30/2017,2280.899902
1/31/2017,2278.870117
2/1/2017,2279.550049
2/2/2017,2280.850098
2/3/2017,2297.419922
2/6/2017,2292.560059
2/7/2017,2293.080078
2/8/2017,2294.669922
2/9/2017,2307.870117
2/10/2017,2316.100098
2/13/2017,2328.25
2/14/2017,2337.580078
2/15/2017,2349.25
2/16/2017,2347.219971
2/17/2017,2351.159912
2/21/2017,2365.379883
2/22/2017,2362.820068
2/23/2017,2363.810059
2/24/2017,2367.340088
2/27/2017,2369.75
2/28/2017,2363.639893
3/1/2017,2395.959961
3/2/2017,2381.919922
3/3/2017,2383.120117
3/6/2017,2375.310059
3/7/2017,2368.389893
3/8/2017,2362.97998
3/9/2017,2364.870117
3/10/2017,2372.600098
3/13/2017,2373.469971
3/14/2017,2365.449951
3/15/2017,2385.26001
3/16/2017,2381.379883
3/17/2017,2378.25
3/20/2017,2373.469971
3/21/2017,2344.02002
3/22/2017,2348.449951
3/23/2017,2345.959961
3/24/2017,2343.97998
3/27/2017,2341.590088
3/28/2017,2358.570068
3/29/2017,2361.129883
3/30/2017,2368.060059
3/31/2017,2362.719971
4/3/2017,2358.840088
4/4/2017,2360.159912
4/5/2017,2352.949951
4/6/2017,2357.48999
4/7/2017,2355.540039
4/10/2017,2357.159912
4/11/2017,2353.780029
4/12/2017,2344.929932
4/13/2017,2328.949951
4/17/2017,2349.01001
4/18/2017,2342.189941
4/19/2017,2338.169922
4/20/2017,2355.840088
4/21/2017,2348.689941
4/24/2017,2374.149902
4/25/2017,2388.610107
4/26/2017,2387.449951
4/27/2017,2388.77002
4/28/2017,2384.199951
5/1/2017,2388.330078
5/2/2017,2391.169922
5/3/2017,2388.129883
5/4/2017,2389.52002
5/5/2017,2399.290039
5/8/2017,2399.379883
5/9/2017,2396.919922
5/10/2017,2399.629883
5/11/2017,2394.439941
5/12/2017,2390.899902
5/15/2017,2402.320068
5/16/2017,2400.669922
5/17/2017,2357.030029
5/18/2017,2365.719971
5/19/2017,2381.72998
5/22/2017,2394.02002
5/23/2017,2398.419922
5/24/2017,2404.389893
5/25/2017,2415.070068
5/26/2017,2415.820068
5/30/2017,2412.909912
5/31/2017,2411.800049
6/1/2017,2430.060059
6/2/2017,2439.070068
6/5/2017,2436.100098
6/6/2017,2429.330078
6/7/2017,2433.139893
6/8/2017,2433.790039
6/9/2017,2431.77002
6/12/2017,2429.389893
6/13/2017,2440.350098
6/14/2017,2437.919922
6/15/2017,2432.459961
6/16/2017,2433.149902
6/19/2017,2453.459961
6/20/2017,2437.030029
6/21/2017,2435.610107
6/22/2017,2434.5
6/23/2017,2438.300049
6/26/2017,2439.070068
6/27/2017,2419.379883
6/28/2017,2440.689941
6/29/2017,2419.699951
6/30/2017,2423.409912
7/3/2017,2429.01001
7/5/2017,2432.540039
7/6/2017,2409.75
7/7/2017,2425.179932
7/10/2017,2427.429932
7/11/2017,2425.530029
7/12/2017,2443.25
7/13/2017,2447.830078
7/14/2017,2459.27002
7/17/2017,2459.139893
7/18/2017,2460.610107
7/19/2017,2473.830078
7/20/2017,2473.449951
7/21/2017,2472.540039
7/24/2017,2469.909912
7/25/2017,2477.129883
7/26/2017,2477.830078
7/27/2017,2475.419922
7/28/2017,2472.100098
7/31/2017,2470.300049
8/1/2017,2476.350098
8/2/2017,2477.570068
8/3/2017,2472.159912
8/4/2017,2476.830078
8/7/2017,2480.909912
8/8/2017,2474.919922
8/9/2017,2474.02002
8/10/2017,2438.209961
8/11/2017,2441.320068
8/14/2017,2465.840088
8/15/2017,2464.610107
8/16/2017,2468.110107
8/17/2017,2430.01001
8/18/2017,2425.550049
8/21/2017,2428.370117
8/22/2017,2452.51001
8/23/2017,2444.040039
8/24/2017,2438.969971
8/25/2017,2443.050049
8/28/2017,2444.23999
8/29/2017,2446.300049
8/30/2017,2457.590088
8/31/2017,2471.649902
9/1/2017,2476.550049
9/5/2017,2457.850098
9/6/2017,2465.540039
9/7/2017,2465.100098
9/8/2017,2461.429932
9/11/2017,2488.110107
9/12/2017,2496.47998
9/13/2017,2498.370117
9/14/2017,2495.620117
